id,date,publication,author,headline,items
37,2018-01-09,Business India, Rakesh Joshi,Flood of arbitrations?,"Cairn Energy, arbitration"
38,2018-01-15,The Statesman,PTI,Vedanta urges govt to resolve retro tax issues,"arbitration, Cairn Energy, retrospective tax"
39,2018-01-15,The Financial Express,Editorial,Can't negotiate tax deals,"arbitration, Cairn Energy"
40,2018-01-19,Financial Chronicle,Editorial,A pipe dream,"Cairn Energy, arbitration"
41,2018-01-20,The Political & Business Daily,PTI,Proposed investment pact terms to hit foreign partners,"Cairn Energy, arbitration, retrospective tax"
42,2018-01-24,The Financial Express,PTI,Final arbitration hearings on India tax demand in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
43,2018-01-24,The Political & Business Daily,Bureau,Final I-T arbitration hearings in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
44,2018-01-24,The Pioneer,Bureau,Final arbitration hearings on India tax demand in Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
45,2018-01-24,The Pioneer,Bureau,Final arbitration hearings on India tax demand in  Aug: Cairn,"arbitration, Cairn Energy, retrospective tax"
46,2018-01-24,The Telegraph,Bureau,Cairn hearing in Aug,"arbitration, Cairn Energy, retrospective tax"
47,2018-01-25,Business Standard, Kanika Datta,India as a business partner,"arbitration, retrospective tax"
48,2018-02-27,The New Indian Express,Agencies,FM Arun Jaitley comments help: Vodafone CEO on tax dispute,"Cairn Energy, arbitration, retrospective tax"
49,2018-02-27,Millennium Post,PTI,FM's tax row byte rings in hope for Vodafone,"Cairn Energy, arbitration, retrospective tax"
50,2018-03-14,Business Standard,PTI,Cairn hearing in August,"arbitration, Cairn Energy, retrospective tax"
51,2018-03-14,The Hindu Business Line,Bureau,Cairn Energy tax issue final hearing in Aug at Hague,"arbitration, Cairn Energy, retrospective tax"
52,2018-03-14,The Pioneer,PTI,Final hearing in Cairn Energy tax issue in Aug,"arbitration, Cairn Energy, retrospective tax"
53,2018-03-14,The Political & Business Daily,PTI,Final hearing in Cairn Energy tax issue to begin in August,"arbitration, Cairn Energy, retrospective tax"
54,2018-03-14,The Telegraph,Bureau,Cairn hearing,"arbitration, Cairn Energy, retrospective tax"
55,2018-03-14,The Financial Express,PTI,Final hearing in Cairn Energy tax issue in Aug,"arbitration, Cairn Energy, retrospective tax"
56,2018-04-16,The Indian Express,Bureau,I-T dept seizes Rs 440 crore dividend of Cairn Energy,"arbitration, retrospective tax"
57,2018-04-16,Free Press,Bureau,I-T dept seizes Rs 440 cr Cairn dividend income,"arbitration, Cairn Energy, retrospective tax"
58,2018-04-16,Mail Today,Bureau,Taxman seizes Cairns Rs 440 crore dividend,"arbitration, Cairn Energy, retrospective tax"
59,2018-04-16,The Economic Times,PTI,Tax Dept Seizes Rs 440 Crore Cairn Energy Dividend Income,"arbitration, retrospective tax"
60,2018-04-16,The Economic Times, Nishtha Saluja,All Parties Must Abide by Arbitration Results: Cairn,"Cairn plc, arbitration, retrospective tax"
61,2018-04-16,Business Standard,PTI,Tax dept seizes Rs 4.4-bn dividend income of Cairn,"arbitration, Cairn Energy, retrospective tax"
62,2018-04-16,Deccan Herald,Bureau,I-Tax dept seizes Rs 440 cr dividend income of Cairn,"arbitration, Cairn Energy, retrospective tax"
63,2018-04-16,The Financial Express,PTI,I-T seizes Rs 440-cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
64,2018-04-16,The Free Press Journal,Bureau,I-T dept seizes Rs 440 cr Cairn dividend income,"arbitration, Cairn Energy, retrospective tax"
65,2018-04-16,Daily News & Analysis,Bureau,I-T Dept seizes Rs 440 cr income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
66,2018-04-16,The Economic Times, Nishtha Saluja,'Cairn will abide by panel decision',"arbitration, retrospective tax"
67,2018-04-16,The Economic Times,Bureau,"We will abide by Arbitration  Results, India too Should: Cairn","arbitration, retrospective tax"
68,2018-04-16,The Economic Times,PTI,Tax Dept Seizes Rs440-Crore Cairn Energy Dividend Income,"arbitration, retrospective tax"
69,2018-04-16,The Economic Times,Associated Press,Cairn will abide by panel decision:CEO....,"arbitration, retrospective tax"
70,2018-04-16,The Statesman,Bureau,I-T seizes Rs 440 crore dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
71,2018-04-16,The Statesman,PTI,I-T seizes Rs 440 crore dividend income of Cain |Energy,"arbitration, Cairn Energy, retrospective tax"
72,2018-04-16,The Pioneer,Bureau,Income-Tax dept seizes Rs 440-cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
73,2018-04-16,The Hindu Business Line,PTI,Retro tax: I-T Dept seizes Cairns RS 440-crore dividend income,"arbitration, Cairn Energy, retrospective tax"
74,2018-04-16,The Times Of India,Bureau,Rs 440 crore dividend income of Cairn seized,"arbitration, Cairn Energy, retrospective tax"
75,2018-04-17,Financial Chronicle,Editorial,Policy inconsistency,"Cairn Energy, arbitration"
76,2018-04-17,The Financial Express,Editorial,Modi needs to just say he will honour Cairn ruling,"Cairn Energy, arbitration, retrospective tax"
77,2018-05-07,Daily News & Analysis,Bureau,"Cairn Indias Rs 20,500 crore tax arbitration begins","Cairn Energy, arbitration, retrospective tax"
78,2018-05-07,The Telegraph,PTI,Cairn arbitration,"arbitration, retrospective tax"
79,2018-05-07,Western Times,Bureau,Income Tax dept seizes Rs440 cr dividend income of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
80,2018-05-07,Deccan Chronicle,Bureau,Arbitrations begin on Cairn India case,"Cairn Energy, arbitration, retrospective tax"
81,2018-05-07,Business Standard,PTI,Hearings begin in Cairn Indias challenge to tax demand,"Cairn Energy, arbitration, retrospective tax"
82,2018-05-07,Business Standard,Bureau,Hearings begin in Cairn India's challenge to tax demand,"Cairn Energy, arbitration, retrospective tax"
83,2018-05-07,The Asian Age,Bureau,Arbitrations begin on Cairn India case,"Cairn Energy, arbitration, retrospective tax"
84,2018-05-07,The Economic Times,PTI,Arbitration Hearings Begin In Cairns Tax Demand Case,"Cairn Energy, arbitration, retrospective tax"
85,2018-05-07,The Hindu,Bureau,Abitration hearing starts in Cairn India tax case,"Cairn Energy, arbitration, retrospective tax"
86,2018-05-15,Business Standard, SHINE JACOB,Where Big Oil fears to tread,"Cairn Energy, arbitration, retrospective tax"
87,2018-05-23,Deccan Chronicle,PTI,India wont end Cairn tax demand,"Cairn Energy, arbitration, retrospective tax"
88,2018-05-23,Deccan Chronicle,Bureau,India wont accept tax arbitration in Cairn case,"Cairn Energy, arbitration, retrospective tax"
89,2018-05-23,Business Standard,PTI,India may not accept orders annulling Vodafone tax case,"Cairn Energy, arbitration"
90,2018-05-23,The Economic Times,PTI,"Govt may not Accept Arbitration Order on Cairn, Voda Tax Calls","Cairn Energy, arbitration, retrospective tax"
91,2018-05-23,The Economic Times,Bureau,"Govt May not Accept Cairn, Voda Arbitration Orders","Cairn Energy, arbitration, retrospective tax"
92,2018-05-23,The Asian Age,Bureau,India wont accept tax arbitration in Cairn case,"Cairn Energy, arbitration, retrospective tax"
93,2018-05-23,Mint,PTI,"'India may not accept arbitration orders on Cairn, Vodafone tax'","Cairn Energy, arbitration"
94,2018-05-23,The Financial Express,PTI,"India may not accept arbitration orders annulling Cairn, Vodafone tax demands","Cairn Energy, arbitration, retrospective tax"
95,2018-05-23,Daily News & Analysis,Bureau,Centre against arbitration orders,"Cairn Energy, arbitration"
96,2018-05-23,Central Chronicle,Bureau,India may not accept arbitration orders annulling tax demands,"Cairn Energy, arbitration, retrospective tax"
97,2018-05-23,The Hindu Business Line,PTI,"India may not accept arbitration orders annulling Cairn, Vodafone tax demands","Cairn Energy, arbitration, retrospective tax"
98,2018-05-28,The Financial Express,Bureau,I-T dept to sell Cairns attached shares at 'appropriate time,"arbitration, Cairn Energy, retrospective tax"
99,2018-05-28,The Financial Express,Bureau,I-T dept to sell Cairns attached shares at appropriate time,"arbitration, Cairn Energy, retrospective tax"
100,2018-05-28,Financial Chronicle,PTI,Taxmen to sell Cairn Energys attached shares at right time,"arbitration, Cairn Energy, retrospective tax"
101,2018-06-14,Business Standard, Kanika Datta,"GoI, unwanted corporate partner","arbitration, Cairn Energy"
102,2018-07-10,Daily News & Analysis, Saket Sundria,Cairn says I-T dept sold part of its stake in Vedanta,"arbitration, Cairn Energy, retrospective tax"
103,2018-07-10,The Economic Times,Bureau,"I-T Dept Sells Cairn Shares in Vedanta to Recover Retro Tax ,","arbitration, Cairn Energy, retrospective tax"
104,2018-07-10,The Economic Times,Bureau,I-T Dept Sells Cairn Shares in Vedanta to Recover Retro Tax,"arbitration, Cairn Energy, retrospective tax"
105,2018-07-10,Afternoon Dispatch & Courier,Bureau,IT dept sells Cairn Energy shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
106,2018-07-10,The Financial Express,Bureau,I-T sells part of Cairns stake in Vedanta,"arbitration, Cairn Energy, retrospective tax"
107,2018-07-10,The Indian Express,Bureau,I-T dept sells $216-mn stake of Cairn in Vedanta,"arbitration, Cairn Energy, retrospective tax"
108,2018-07-10,The Indian Express,Bureau,"I-T dept sells $216-mn stake of Cairn in Vedanta     ,","arbitration, Cairn Energy, retrospective tax"
109,2018-07-10,The Times Of India,Bureau,Tax dept sold $216m of Vedanta stock: Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
110,2018-07-10,The Times Of India,Agencies,Tax dept sold $216m of Vedanta stock: Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
111,2018-07-10,The Political & Business Daily,Bureau,I-T dept sells Cairn Energy shares in Vadanta to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
112,2018-07-10,The Statesman,Bureau,I-T dept sells Cairn Energy shares to recover retrospective tax,"arbitration, Cairn Energy, retrospective tax"
113,2018-07-10,The New Indian Express,Bureau,I-T sells Cairns $216 mn shares in Vedanta,"arbitration, Cairn Energy, retrospective tax"
114,2018-07-10,The Telegraph,Bureau,Taxman sells Cairn shares for dues,"arbitration, Cairn Energy, retrospective tax"
115,2018-07-10,Hindustan Times, Gireesh Chandra Prasad,"Govt sold $216 mn of Vedanta shares, says Cairn Energy","arbitration, Cairn Energy"
116,2018-07-10,Hindustan Times, Gireesh Chandra Prasad,Taxman sells part of Cairn Energys stake in Vedanta,"arbitration, Cairn Energy"
117,2018-07-10,Mail Today,Bureau,Taxman sells $216 million Cairn shares,"arbitration, Cairn Energy, retrospective tax"
118,2018-07-10,Millennium Post,Associated Press,I-T dept sells Cairn Energy shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
119,2018-07-10,Mint, Gireesh Chandra Prasad,"Govt sold $216 mn of Vedanta shares, says Cairn Energy","arbitration, Cairn Energy"
120,2018-07-10,The Asian Age,Bureau,Taxmen sold Cairn Energys shares,"arbitration, Cairn Energy, retrospective tax"
121,2018-07-10,Deccan Herald,PTI,I-T dept sells Cairn shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
122,2018-07-10,Financial Chronicle,PTI,I-T Dept sells Cairn Energy shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
123,2018-07-10,Financial Chronicle,Bureau,I-T Dept sells Cairn Energy shares,"arbitration, Cairn Energy, retrospective tax"
124,2018-07-10,Deccan Chronicle,Bureau,Taxmen sold Cairn Energys shares,"arbitration, Cairn Energy, retrospective tax"
125,2018-07-10,Deccan Chronicle,PTI,Cairn: taxmen sold Cairn energys shares,"arbitration, Cairn Energy, retrospective tax"
126,2018-07-10,Business Standard, Jyoti Mukul,I-T sells Cairn shares in Vedanta for $216 mn,"arbitration, Cairn Energy, retrospective tax"
127,2018-07-10,The Hindu, Una Galani,Indias Cairn fire sale is short-sighted,"arbitration, Cairn Energy"
128,2018-07-10,The Hindu,Bureau,I-T dept. sells $216 mn Cairn stake in Vedanta,"arbitration, Cairn Energy, retrospective tax"
129,2018-07-10,The Hindu Business Line,Bureau,I-T dept sells Cairn shares in Vedanta,"arbitration, Cairn Energy, retrospective tax"
130,2018-07-10,The Financial Express,Editorial,Cairn't seem to get it right,"Cairn Energy, arbitration"
131,2018-07-10,Daily Post,Editorial,Taking on Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
132,2018-07-23,The Financial Express,Editorial,"Hurting investors, from UTI to Cairn","arbitration, Cairn Energy, retrospective tax"
133,2018-07-31,The Financial Express,Editorial,Shrugging off 'suit-boot'tag,"arbitration, Cairn Energy"
134,2018-08-06,Business Standard, A K Bhattacharya,A season for arbitration,"Cairn Energy, arbitration, retrospective tax"
135,2018-08-14,The Financial Express,Editorial,"Damage-control on lynching, but not enough on economy","arbitration, Cairn Energy"
136,2018-08-18,The Telegraph,Bureau,Cairn tax dispute hearing,"arbitration, Cairn Energy, retrospective tax"
137,2018-08-20,The Telegraph,PTI,Cairn tax dispute hearing,"arbitration, Cairn Energy, retrospective tax"
138,2018-08-20,The Statesman,PTI,Final hearing in Cairn case to begin today,"arbitration, Cairn Energy, retrospective tax"
139,2018-08-20,The Statesman,Bureau,Final hearing in Cairn case to begin today.,"arbitration, Cairn Energy, retrospective tax"
140,2018-08-20,Daily News & Analysis,PTI,Cairn tax hearing to begin today,"arbitration, retrospective tax"
141,2018-08-20,The Financial Express,PTI,Final hearing in Cairn arbitration against retro tax to begin today,"arbitration, Cairn Energy, retrospective tax"
142,2018-08-20,The Financial Express,PTI,Final hearing in Cairn arbitration against retro tax begins today,"arbitration, Cairn Energy, retrospective tax"
143,2018-08-20,The Free Press Journal,Bureau,Final hearing in Cairn arbitration against retro tax to begin Monday,"arbitration, Cairn Energy, retrospective tax"
144,2018-08-20,The Indian Express,Bureau,Final hearing in Cairn arbitration from today,"arbitration, Cairn Energy, retrospective tax"
145,2018-08-20,Business Standard,PTI,Final hearing in Cairn arbitration against retro tax to beg in today,"arbitration, Cairn Energy, retrospective tax"
146,2018-08-20,Free Press,Bureau,Final hearing in Cairn arbitration against retro tax to begin Monday,"arbitration, Cairn Energy, retrospective tax"
147,2018-08-20,Millennium Post,PTI,Final hearing in Cairn arbitration against retro tax to begin Monday.,"arbitration, Cairn Energy, retrospective tax"
148,2018-09-12,The Political & Business Daily,Bureau,I-T sells more Cairn shares to recover Rs 102-billion retro tax,"arbitration, Cairn Energy, retrospective tax"
149,2018-09-12,The Telegraph,Bureau,Fresh sale to recover Cairn tax.,"arbitration, Cairn Energy, retrospective tax"
150,2018-09-12,The Times Of India,Bureau,Cairn Energy: I-T dept sells more shares for recovery,"arbitration, Cairn Energy, retrospective tax"
151,2018-09-12,The Economic Times, Rachita Prasad,Cairn Says it Took $500m Hit Due to Retro Tax in India,"arbitration, Cairn Energy, retrospective tax"
152,2018-09-12,The Financial Express,Bureau,I-T dept sells more Cairn shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
153,2018-09-12,The Financial Express,PTI,I-T sells more shares of Cairn Energy in Vedanta,"arbitration, Cairn Energy, retrospective tax"
154,2018-09-12,The Indian Express,PTI,Tax dept sells more shares of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
155,2018-09-12,Daily Post,PTI,Income Tax Dept sells more shares of  Cairn energy to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
156,2018-09-12,Deccan Herald,PTI,IT Dept sells more shares of Cairn Energy,"arbitration, Cairn Energy, retrospective tax"
157,2018-09-12,Free Press,Agencies,I-T dept sells more Cairn Energy shares,"arbitration, Cairn Energy, retrospective tax"
158,2018-09-12,Millennium Post,Bureau,I-T Dept sells more Cairn Energy shares to recover retro tax.,"arbitration, Cairn Energy, retrospective tax"
159,2018-09-12,Millennium Post,Bureau,I-T Dept sells more Cairn Energy shares to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
160,2018-09-12,Orissa Post,Bureau,I-T Dept sells more Cairn Energy shares,"arbitration, Cairn Energy, retrospective tax"
161,2018-09-12,The Hitavada,Bureau,I-T Deptt sells more shares of Cairn Energy to recover retro tax,"arbitration, Cairn Energy, retrospective tax"
162,2018-09-12,The Hindu,Bureau,Cairn blames retrospective tax for $500 million loss,"arbitration, Cairn Energy, retrospective tax"
163,2018-09-24,Western Times,Bureau,Cairn blames retrospective tax for $500 million loss,"arbitration, Cairn Energy, retrospective tax"
164,2018-10-03,The Economic Times,Bureau,"LNMs Rs 42,000-cr Offer for Essar Steel Quite High but Vedanta is Most Eligible","arbitration, retrospective tax"
165,2018-10-18,The Financial Express,Editorial,Cairn lessons for Modi on raising oil output,"arbitration, Cairn Energy, retrospective tax"
166,2018-10-19,Hindustan Times, Gireesh Chandra Prasad and Remya Nair,Cairn tax dispute: India to seek UK govts help,"arbitration, Cairn Energy"
167,2018-10-19,Mint, Gireesh Chandra Prasad & Remya Nair,India set to step up efforts to recover tax dues from Cairn,"arbitration, Cairn Energy"
168,2018-10-20,Hindustan Times, Gireesh Chandra Prasad an d Remya Nair,Cairn tax dispute: India to seek UK govts help,"arbitration, Cairn Energy"
169,2018-10-22,The Telegraph,Bureau,Post-Brexit push for EU pact,arbitration
170,2018-10-25,The Financial Express, Sumit Jha,"Tata Sons may get GST bill of Rs  1,600 cr","Cairn Energy, arbitration"
171,2018-11-02,The Financial Express,Editorial,Doing Business mysteries,"Cairn Energy, arbitration"
172,2018-11-15,Free Press,Bureau,The RAHI fiasco,"arbitration, Cairn Energy"
173,2018-11-15,The Free Press Journal, SUCHETA DALAL,The RAHI fiasco,"arbitration, Cairn Energy"
174,2018-11-19,Business Standard, Jyoti Mukul,Power play,arbitration
175,2018-11-23,The Times Of India,Bureau,"I-T dept sells Rs 5.5k cr of Cairns Vedanta shares, 25L remain","Cairn plc, arbitration"
176,2018-11-23,The Times Of India, Pradeep Thakur,I-T dept sells shares of Cairn UK in Vedanta worth Rs 5.5k crore,"Cairn plc, arbitration"
177,2018-11-23,The Times Of India, Pradeep Thakur,I-T dept sells shares of Cairn UK in Vedanta worth `5.5k crore,"Cairn plc, arbitration"
178,2018-11-23,The Times Of India,Bureau,I-T dept sells shares of Cairn UK in Vedanta worth Rs5.5K crore.,"Cairn plc, arbitration"
179,2018-11-24,The Times Of India, Pradeep Thakur,"I-T dept sells Rs 5.5k cr of Cairns shares in Vedanta, 25L remain","Cairn plc, arbitration"
180,2018-11-24,The Times Of India, Pradeep Thakur,I-T dept sells shares of Cairn UK in Vedanta,"Cairn plc, arbitration"
181,2018-11-26,The Telegraph,Bureau,Tax cops sell all Cairn shares,"Cairn Energy, arbitration, retrospective tax"
182,2018-11-26,The Times Of India,Agencies,Retrospective tax: I-T sells shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
183,2018-11-26,Daily News & Analysis,Bureau,I-T Dept sells Cairns attached shares,"Cairn Energy, arbitration, retrospective tax"
184,2018-11-26,Daily Post,PTI,I-T Dept sell shares,"Cairn Energy, arbitration, retrospective tax"
185,2018-11-26,Afternoon Dispatch & Courier,Bureau,IT Dept sells shares of Cairn Energy to recover retrospective tax,"Cairn Energy, arbitration, retrospective tax"
186,2018-11-26,Business Standard,PTI,I-T dept sells Cairns shares in Vedanta to recover tax,"Cairn Energy, arbitration, retrospective tax"
187,2018-11-26,Business Standard,PTI,I-T deptsells Cairn;s shares to recover retrospective tax .,"Cairn Energy, arbitration, retrospective tax"
188,2018-11-26,Business Standard,Bureau,I-T dept sells shares of Cairn to recover tax,"Cairn Energy, arbitration, retrospective tax"
189,2018-11-26,Echo Of India,PTI,Taxman sells Cairn shares to recover part of Rs 102b retrospective tax,"Cairn Energy, arbitration, retrospective tax"
190,2018-11-26,Financial Chronicle,PTI,I-T Dept sells Cairn Energy shares to recover retrospective tax,"Cairn Energy, arbitration, retrospective tax"
191,2018-11-26,Deccan Herald,PTI,IT-Dept sells shares of Cairn to recover tax,"Cairn Energy, arbitration"
192,2018-11-26,Deccan Chronicle,Bureau,Taxmen sell Shares of Cairn energy,"Cairn Energy, arbitration, retrospective tax"
193,2018-11-26,Hindustan Times,PTI,IT dept sells shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
194,2018-11-26,Hindustan Times,Bureau,Income Tax dept sells shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
195,2018-11-26,Millennium Post,PTI,IT Dept sells shares of Cairn Energy to recover retrospective tax,"Cairn Energy, arbitration, retrospective tax"
196,2018-11-26,The Asian Age,Bureau,Taxmen sell Shares of Cairn energy,"Cairn Energy, arbitration, retrospective tax"
197,2018-11-26,The Economic Times,Bureau,I-T Dept Sells Attached Shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
198,2018-11-26,The Economic Times,PTI,I-T Department Sells Shares of Cairn Energy to Recover Tax Dues,"Cairn Energy, arbitration, retrospective tax"
199,2018-11-26,The Economic Times,PTI,"I-T Department Sells Shares of Cairn Energy to Recover Tax Dues,","Cairn Energy, arbitration, retrospective tax"
200,2018-11-26,The Economic Times,Bureau,I-T Dept Sells All Attached Shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
201,2018-11-26,The Hans India,Bureau,I-T Dept sells shares of Cairn Energy,"Cairn Energy, arbitration, retrospective tax"
202,2018-11-26,The Free Press Journal,Bureau,Tax dept sells Cairn shares to recover dues,"Cairn Energy, arbitration, retrospective tax"
203,2018-12-25,The Times Of India, Pradeep .thakur,Retrospective tax is justified,"Cairn Energy, arbitration, retrospective tax"
204,2018-12-25,The Times Of India, Pradeep.Thakur,Govt: Retrospective taxation justified,"Cairn Energy, arbitration"
205,2018-12-25,The Times Of India, Pradeep Thakur,"Retrospective tax justified, says government","Cairn Energy, arbitration, retrospective tax"
206,2018-12-25,The Times Of India, Pradeep Thakur,"Retrospective tax justified, says government..","Cairn Energy, arbitration, retrospective tax"
207,2018-12-25,The Times Of India, Pradeep Thakur,"Retrospective tax justified, says govt","Cairn Energy, arbitration, retrospective tax"
208,2018-12-26,The Telegraph, Jayantaroy chowdhury,Push for local arbitration centre,arbitration
209,2015-02-07,The Financial Express,Bureau,Fixing tax terror,"arbitration, Cairn Energy, retrospective tax"
210,2015-02-12,The Financial Express,Bureau,Getting those investors back,"arbitration, Cairn Energy, retrospective tax"
211,2015-02-17,The Financial Express,Author,Limit the oil ministry to policy-making,arbitration
212,2015-02-20,The Indian Express, Ananya Bhardwaj,Staffers sold documents to consultancies who processed them for corporates: Police,arbitration
213,2015-02-20,The Indian Express,Bureau,Determined to Cooperate: RIL,arbitration
214,2015-02-21,The Economic Times,Bureau,5 Corporate Executives Held in Espionage Case,arbitration
215,2015-02-21,The Economic Times,Bureau,5 Corporate Executives Held in Espionage Case,arbitration
216,2015-02-21,The Economic Times,Bureau,5 Corporate Executives Held in Espionage Case,arbitration
217,2015-02-22,The Indian Express," Ananya Bhardwaj, kaunain sheriff m",May invoke OSA on oil leak papers: police to court,arbitration
218,2015-02-22,The Indian Express, Kaunain Sherrif,May invoke OSA on oil leak papers: police to court,arbitration
219,2015-02-22,Mirror, Sobhana K Nair,"It’s a Rs 10,000cr scam, says accused as police consider OSA provisions",arbitration
220,2015-02-24,The Financial Express, Santosh Tiwari,Personal Income Tax exemption may go up to Rs 5 lakh,arbitration
221,2015-02-26,The Economic Times,Bureau,Centre Eyes Speedy Resolution of Rows with Oil & Gas Firms,"arbitration, Cairn Energy"
222,2015-02-26,The Economic Times,*******,Centre Working on Speedy Arbitration with Oil & Gas Firms,"arbitration, Cairn Energy"
223,2015-03-11,The Economic Times,Bureau,Cairn Issues Notice to Govt Over Retro Tax Notice,"arbitration, Cairn plc, retrospective tax"
224,2015-03-11,The Economic Times,Bureau,Cairn Issues Notice to Govt After Receiving Tax Demand of $1.6 B,"arbitration, Cairn plc, retrospective tax"
225,2015-03-12,The Hindu Business Line, Vidya Ram,Cairn Energy plunges after $1.6-b tax claim by India,"arbitration, Cairn Energy, retrospective tax"
226,2015-03-12,Business Standard,Bureau,Cairn Energy files notice for arbitration over tax claim,"arbitration, Cairn Energy"
227,2015-03-12,Business Standard, Sudipto Dey,Lay retrospective tax claims to rest: Experts,"arbitration, Cairn Energy, retrospective tax"
228,2015-03-12,Hindustan Times,Bureau,Cairn files dispute notice against $1.6-bn tax demand,"arbitration, Cairn Energy"
229,2015-03-12,The Indian Express, Shruti Srivastava,"Battling tax disputes, foreign MNCs make a beeline for international arbitrations","arbitration, Cairn Energy"
230,2015-03-12,The Financial Express,Bureau,"After Vodafone, Cairn invokes treaty to dodge tax demand","arbitration, Cairn Energy"
231,2015-03-12,The Economic Times,Bureau,Cairn Puts Govt on Notice After $1.6b Tax Demand,"arbitration, retrospective tax"
232,2015-03-12,The Economic Times,Bureau,Cairn Sends Notice to Govt After Receiving $1.6-b Tax Demand,"arbitration, retrospective tax"
233,2015-03-12,Mirror,Reuters ,Cairn files notice against India in $1.6 bn tax dispute,"arbitration, Cairn Energy"
234,2015-03-13,The Economic Times, Deepshikha Sikarwar,Cairn Energy Can Seek Review of Draft Order on Tax,"arbitration, Cairn Energy, retrospective tax"
235,2015-03-13,Mint," Elizabeth Roche, mritha Pillay",British foreign secretary nudges Jaitley on Cairn Energy tax case,"arbitration, Cairn Energy, retrospective tax"
236,2015-03-13,Daily Post,PTI,"Vodafone tax case could have been handled differently, says Prasad","arbitration, Cairn Energy"
237,2015-03-13,The Economic Times, Girish Karkera,Cairn Energy Can Seek Review of Draft Order on Tax,"arbitration, Cairn Energy, retrospective tax"
238,2015-03-13,The Economic Times, Deepshikha Sikarwar,Cairn Can Ask Income Tax Dept to Review Draft Order,"arbitration, Cairn Energy"
239,2015-03-13,Daily Post,PTI,"Vodafone tax case could have handled differently, says Prasad","arbitration, Cairn Energy"
240,2015-03-14,Financial Chronicle, Mukesh Jagota,Cairn India faces Rs.20.5K cr income-tax demand,"arbitration, Cairn Energy"
241,2015-03-14,The Financial Express,Bureau,"Cairn India now faces tax, interest bill of Rs 20,000 cr","arbitration, Cairn Energy"
242,2015-03-14,Hindustan Times,Correspondent,"Retrospective Tax: Rs 20,495-cr I-T dept notice To Cairn India","arbitration, Cairn Energy, retrospective tax"
243,2015-03-14,Hindustan Times,Bureau,Cairn hit with second tax notice in 4 days,"arbitration, Cairn Energy, retrospective tax"
244,2015-03-14,Hindustan Times,Correspondent,Cairn hit with Second tax Notice in 4 days,"arbitration, Cairn Energy, retrospective tax"
245,2015-03-16,The Financial Express, Siddhartha P Saikia,Red tape stifles India’s energy dream; just 15% PSC discoveries yield,arbitration
246,2015-03-16,The Financial Express,Bureau,Not just gas pricing,arbitration
247,2015-03-23,Business Standard,Bureau,"‘Not too late to amend the law, remove retrospectivity’","arbitration, Cairn Energy, retrospective tax"
248,2015-03-25,The Times Of India,Author,Cairn Energy seeks compensation from India,"arbitration, Cairn Energy, retrospective tax"
249,2015-03-25,The Financial Express,Bureau,"Cairn for quick deal, no negotiation period","arbitration, Cairn Energy, retrospective tax"
250,2015-03-25,Financial Chronicle,Bureau,Cairn Energy seeks damages from India over tax demand,"arbitration, Cairn Energy, retrospective tax"
251,2015-03-25,Business Standard,PTI,Cairn Energy seeks damages from India over tax demand,"arbitration, Cairn Energy, retrospective tax"
252,2015-03-25,The Asian Age,PTI,Cairn seeks compensation from India on tax demand,"arbitration, Cairn Energy, retrospective tax"
253,2015-03-25,Daily News & Analysis,PTI,Cairn Energy seeks compensation for tax demand,"arbitration, Cairn Energy, retrospective tax"
254,2015-03-25,Mint,PTI,Cairn Energy seeks compensation,"arbitration, Cairn Energy, retrospective tax"
255,2015-03-25,The Economic Times,Bureau,Compensate Stock Slide: Cairn,"arbitration, Cairn plc, retrospective tax"
256,2015-03-25,The Times Of India,Bureau,Cairn Energy pitches for arbitration on tax demand,"arbitration, Cairn Energy, retrospective tax"
257,2015-03-25,The Indian Express,Bureau,Cairn Energy seeks compensation on India's  tax demand,"arbitration, Cairn Energy, retrospective tax"
258,2015-03-25,The Free Press Journal,Bureau,Cairn seeks compensation fromIndia on tax demand,"arbitration, Cairn Energy, retrospective tax"
