id,date,publication,author,headline,items
1338,2021-06-30,Millennium Post,Bureau,Devas joins Cairn in bid to seize Air Indias assets,"Cairn Energy, arbitration"
1339,2021-06-30,Business Standard,Bloomberg,AI asset seize: Devas jumps into the fray,"Cairn Energy, arbitration"
1340,2021-06-30,Hindustan Times,Reuters ,Devas sues Air India to recover $1.5 bn,"Cairn Energy, arbitration"
1341,2021-06-30,The Times Of India,Bureau,Devas tries to seize foreign assets of AI,"Cairn Energy, arbitration"
1342,2021-06-30,The Indian Express,Bureau,"Devas investors move US court, tag A-I assets to recover award","Cairn Energy, arbitration"
1343,2021-06-30,The Hindu,Reuters ,"After Cairn, Devas sues AI to recover $1.5 billion",arbitration
1344,2021-06-30,The Financial Express,Bureau,"After Cairn, Devas sues Al to recover $1.5-bn award",arbitration
1345,2021-06-30,The Economic Times,Bureau,Devas Moves NY Court to Seize Air Indias US Assets,"Cairn Energy, arbitration"
1346,2021-06-30,Mint,Reuters ,"After Cairn, Devas sues Air India","Cairn Energy, arbitration"
1347,2021-06-30,Hindustan Times,Bloomberg,"After Cairn, Devas eyes Air Indias assets","Cairn Energy, arbitration"
1348,2021-06-30,The Financial Express,Reuters ,"After Cairn, Devas sues AI to recover $1.5-bn award","Cairn Energy, arbitration"
1349,2021-06-30,The Economic Times,Bureau,Devas Moves NY Court to Seize Air Indias US Assets.,"Cairn Energy, arbitration"
1350,2021-07-01,Business Standard, Sudipto Dey,Devas will pursue its rights in courts around the world,"Cairn Energy, arbitration"
1351,2021-07-05,The Indian Express, Pranav Mukul,"As lawsuits try to clip Al wings, govt readiesnot alter egocase","Cairn Energy, retrospective tax, arbitration"
1352,2021-07-05,The Financial Express,Bureau,"After Cairn, Devas sues AI to recover $1.5 -bn award","Cairn Energy, arbitration"
1353,2021-07-09,Mint, Elizabeth Roche & Gireesh Chandra Prasad,WhyCairnEnergy is seizing Indias overseas assets,"Cairn Energy, arbitration"
1354,2021-07-09,The Times Of India,Bureau,Cairn case: French court orders govts Paris properties frozen..,"Cairn Energy, arbitration"
1355,2021-07-09,Mid-Day,Agencies,Cairn has court nod to seize 20 Indian govt assets in Paris,"Cairn Energy, arbitration"
1356,2021-07-09,The Times Of India,Bureau,Cairn tax case: Court orders govts Paris properties frozen,"Cairn Energy, arbitration"
1357,2021-07-09,The Navhind Times,IANS,Cairn arbitration: Government says no communication on French asset seizure,arbitration
1358,2021-07-09,The Hitavada,PTI,Cairn gets French court order to seize 20 Indian properties in Paris,"Cairn Energy, arbitration"
1359,2021-07-09,The Economic Times,Bureau,"Cairn Dispute: India Keeps Legal, Talks Options Open.","Cairn Energy, arbitration"
1360,2021-07-09,Free Press,Bureau,Cairn Energy can seize Indian assets in France,"Cairn Energy, arbitration"
1361,2021-07-09,The Asian Age,Bureau,Cairn wins case to seize 20 Indian properties in Paris,"Cairn Energy, arbitration"
1362,2021-07-09,Deccan Chronicle,Bureau,Cairn gets order to seize Indian assets,"Cairn Energy, arbitration"
1363,2021-07-09,Deccan Chronicle,Bureau,French Court Lets Cairn Seize 20 Indian Properties,"Cairn Energy, arbitration"
